tree= 1, node=  1, feature=15, thr= 21.57, gain=0.621424
tree= 1, node=  2, feature= 4, thr= 41.18, gain=0.587628
tree= 1, node=  3, feature=13, thr= 58.82, gain=0.697235
tree= 1, node=  4, feature= 9, thr= 15.69, gain=0.670083
tree= 1, node=  5, feature=10, thr= 39.22, gain=0.629044
tree= 1, node=  6, feature= 0, thr= 35.29, gain=0.712500
tree= 1, node=  7, feature= 8, thr= 56.86, gain=0.814218
tree= 1, node=  8, feature=14, thr= 60.78, gain=0.475710
tree= 1, node=  9, feature= 5, thr= 64.71, gain=0.620325
tree= 1, node= 10, feature=14, thr= 37.25, gain=0.224713
tree= 1, node= 11, feature= 3, thr= 90.20, gain=0.686759
tree= 1, node= 12, feature=14, thr= 37.25, gain=0.281171
tree= 1, node= 13, feature=10, thr= 29.41, gain=0.584898
tree= 1, node= 14, feature=14, thr= 96.08, gain=0.737506
tree= 1, node= 15, feature= 7, thr= 24.33, gain=0.205385
tree= 1, node= 16, feature= 1, thr= 73.53, gain=0.027989
tree= 1, node= 17, feature=10, thr= 45.10, gain=0.863121
tree= 1, node= 18, feature=15, thr=  0.41, gain=0.188928
tree= 1, node= 19, feature= 9, thr= 60.47, gain=0.530651
tree= 1, node= 20, feature=12, thr= 30.06, gain=0.640257
tree= 1, node= 21, feature= 8, thr= 34.59, gain=0.140904
tree= 1, node= 22, feature= 6, thr= 72.55, gain=0.509615
tree= 1, node= 23, feature= 7, thr= 77.10, gain=0.409412
tree= 1, node= 24, feature= 1, thr= 84.51, gain=0.550957
tree= 1, node= 25, feature=13, thr= 14.78, gain=0.131381
tree= 1, node= 26, feature=15, thr= 31.18, gain=0.222560
tree= 1, node= 27, feature= 9, thr= 19.61, gain=0.464511
tree= 1, node= 28, feature=11, thr= 31.67, gain=0.157508
tree= 1, node= 29, feature=13, thr= 71.06, gain=0.344859
tree= 1, node= 30, feature= 2, thr= 54.90, gain=0.092930
tree= 1, node= 31, feature= 9, thr= 58.82, gain=0.918296
tree= 1, node= 32, feature=-1, thr= -1.00, gain=0.000000
tree= 1, node= 33, feature=-1, thr= -1.00, gain=0.000000
tree= 1, node= 34, feature=10, thr= 12.35, gain=0.918296
tree= 1, node= 35, feature=-1, thr= -1.00, gain=0.000000
tree= 1, node= 36, feature= 7, thr= 66.47, gain=0.110097
tree= 1, node= 37, feature= 5, thr= 51.88, gain=0.749595
tree= 1, node= 38, feature=14, thr= 25.49, gain=0.773333
tree= 1, node= 39, feature= 0, thr= 39.22, gain=0.203813
tree= 1, node= 40, feature= 3, thr= 96.71, gain=0.374672
tree= 1, node= 41, feature= 0, thr= 54.90, gain=0.995727
